os,cpu,gpu,ram,kernel,driver,cpuscheduler
Ubuntu 26.04 LTS,AMD Ryzen 7 255 w/ Radeon 780M Graphics,AMD Radeon 780M Graphics (RADV PHOENIX),32124680,6.18.34-tkg--wils-v2.0,,performance
fps,frametime,cpu_load,cpu_power,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,swap_used,process_rss,cpu_mhz,elapsed
44.8782,22.2825,3.8835,7.6232,70,67,74,2600,2800,0.481586,28,13.2102,0,0,4617,255568649
36.1175,27.6874,3.8835,7.6232,70,67,74,2600,2800,0.481586,28,13.2102,0,0,4617,283256535
39.8737,25.0792,3.8835,7.6232,70,67,74,2600,2800,0.481586,28,13.2102,0,0,4617,308337484
40.9994,24.3906,3.8835,7.6232,70,67,74,2600,2800,0.481586,28,13.2102,0,0,4617,332727915
36.0022,27.7761,3.8835,7.6232,70,67,74,2600,2800,0.481586,28,13.2102,0,0,4617,360506871
40.0203,24.9873,3.8835,7.6232,70,67,74,2600,2800,0.481586,28,13.2102,0,0,4617,385498514
36.5597,27.3525,3.8835,7.6232,70,67,74,2600,2800,0.481586,28,13.2102,0,0,4617,412851565
43.082,23.2116,3.8835,7.6232,70,67,74,2600,2800,0.481586,28,13.2102,0,0,4617,436061602
35.0863,28.5011,3.8835,7.6232,70,67,74,2600,2800,0.481586,28,13.2102,0,0,4617,464564589
43.2889,23.1006,3.8835,7.6232,70,67,74,2600,2800,0.481586,28,13.2102,0,0,4617,487665352
36.2373,27.5959,3.8835,7.6232,70,67,74,2600,2800,0.481586,28,13.2102,0,0,4617,515261928
44.4464,22.499,3.8835,7.6232,70,67,74,2600,2800,0.481586,28,13.2102,0,0,4617,537762310
35.0735,28.5116,3.8835,7.6232,70,67,74,2600,2800,0.481586,28,13.2102,0,0,4617,566275196
39.8615,25.0869,3.8835,7.6232,70,67,74,2600,2800,0.481586,28,13.2102,0,0,4617,591364371
40.786,24.5182,3.8835,7.6232,70,67,74,2600,2800,0.481586,28,13.2102,0,0,4617,615883281
38.0096,26.3092,3.8835,7.6232,70,67,74,2600,2800,0.481586,28,13.2102,0,0,4617,642190540
39.4093,25.3747,3.8835,7.6232,70,67,74,2600,2800,0.481586,28,13.2102,0,0,4617,667567732
35.2913,28.3356,3.8835,7.6232,70,67,74,2600,2800,0.481586,28,13.2102,0,0,4617,695906042
44.9768,22.2337,3.8835,7.6232,70,67,74,2600,2800,0.481586,28,13.2102,0,0,4617,718145037
35.3559,28.2838,4.36893,9.51175,71,67,76,2580,2800,0.481586,39,13.2095,0,0,4633,746425188
41.2562,24.2388,4.36893,9.51175,71,67,76,2580,2800,0.481586,39,13.2095,0,0,4633,770664647
34.8203,28.7189,4.36893,9.51175,71,67,76,2580,2800,0.481586,39,13.2095,0,0,4633,799383648
44.0543,22.6993,4.36893,9.51175,71,67,76,2580,2800,0.481586,39,13.2095,0,0,4633,822084334
34.385,29.0824,4.36893,9.51175,71,67,76,2580,2800,0.481586,39,13.2095,0,0,4633,851168256
43.8878,22.7854,4.36893,9.51175,71,67,76,2580,2800,0.481586,39,13.2095,0,0,4633,873955403
36.2515,27.5851,4.36893,9.51175,71,67,76,2580,2800,0.481586,39,13.2095,0,0,4633,901541750
40.236,24.8534,4.36893,9.51175,71,67,76,2580,2800,0.481586,39,13.2095,0,0,4633,926397028
40.6721,24.5869,4.36893,9.51175,71,67,76,2580,2800,0.481586,39,13.2095,0,0,4633,950988604
35.1592,28.4421,4.36893,9.51175,71,67,76,2580,2800,0.481586,39,13.2095,0,0,4633,979428574
41.58,24.05,4.36893,9.51175,71,67,76,2580,2800,0.481586,39,13.2095,0,0,4633,1003482336
35.1155,28.4774,4.36893,9.51175,71,67,76,2580,2800,0.481586,39,13.2095,0,0,4633,1031958423
43.711,22.8775,4.36893,9.51175,71,67,76,2580,2800,0.481586,39,13.2095,0,0,4633,1054838785
33.2428,30.0817,4.36893,9.51175,71,67,76,2580,2800,0.481586,39,13.2095,0,0,4633,1084921161
46.6955,21.4153,4.36893,9.51175,71,67,76,2580,2800,0.481586,39,13.2095,0,0,4633,1106340435
35.9689,27.8018,4.36893,9.51175,71,67,76,2580,2800,0.481586,39,13.2095,0,0,4633,1134142264
44.1276,22.6615,4.36893,9.51175,71,67,76,2580,2800,0.481586,39,13.2095,0,0,4633,1156807874
37.1295,26.9328,4.36893,9.51175,71,67,76,2580,2800,0.481586,39,13.2095,0,0,4633,1183741051
36.5823,27.3356,4.36893,9.51175,71,67,76,2580,2800,0.481586,39,13.2095,0,0,4633,1211079705
43.8079,22.8269,4.36893,9.51175,71,67,76,2580,2800,0.481586,39,13.2095,0,0,4633,1233912198
34.8696,28.6783,4.61165,6.1055,71,67,74,2593,2800,0.481586,21,13.2207,0,0,4631,1262588950
39.7812,25.1375,4.61165,6.1055,71,67,74,2593,2800,0.481586,21,13.2207,0,0,4631,1287728178
36.1134,27.6906,4.61165,6.1055,71,67,74,2593,2800,0.481586,21,13.2207,0,0,4631,1315421634
43.1455,23.1774,4.61165,6.1055,71,67,74,2593,2800,0.481586,21,13.2207,0,0,4631,1338598239
35.6576,28.0445,4.61165,6.1055,71,67,74,2593,2800,0.481586,21,13.2207,0,0,4631,1366645696
41.8382,23.9016,4.61165,6.1055,71,67,74,2593,2800,0.481586,21,13.2207,0,0,4631,1390549408
38.0678,26.2689,4.61165,6.1055,71,67,74,2593,2800,0.481586,21,13.2207,0,0,4631,1416817914
42.4188,23.5745,4.61165,6.1055,71,67,74,2593,2800,0.481586,21,13.2207,0,0,4631,1440396259
36.7815,27.1876,4.61165,6.1055,71,67,74,2593,2800,0.481586,21,13.2207,0,0,4631,1467585694
